en;nl;fr;de;sv;pl;no;es;it;pt;lv;lt
Let's setup your showroom;Laten we je showroom instellen;Configurons votre showroom;Lass uns dein Showroom einrichten;Låt oss ställa in ditt showroom;Skonfigurujmy twoją wystawę;La oss sette opp ditt showroom;Vamos a configurar tu showroom;Impostiamo il tuo showroom;Vamos configurar o seu showroom;Iestatīsim jūsu izstādi;Nustatykime jūsų parodą
Profit Margin Amount;Winstmargebedrag;Montant de la marge bénéficiaire;Gewinnmargenbetrag;Vinstmarginalbelopp;Kwota marży zysku;Fortjenestemarginbeløp;Cantidad de margen de beneficio;Importo del margine di profitto;Valor da margem de lucro;Peļņas maržas summa;Pelno maržos suma
{close};sluiten;fermer;schließen;stänga;zamknij;lukk;cerrar;chiudere;fechar;aizvērt;uždaryti
Additional information;Aanvullende informatie;Informations supplémentaires;Zusätzliche Informationen;Ytterligare information;Dodatkowe informacje;Tilleggsinformasjon;Información adicional;Informazioni aggiuntive;Informação adicional;Papildu informācija;Papildoma informacija
"{
          getDialogState() === 'idle' ? cancel : close
        }";getDialogState() === 'idle' ? annuleren : sluiten;getDialogState() === 'idle' ? annuler : fermer;getDialogState() === 'idle' ? abbrechen : schließen;getDialogState() === 'idle' ? avbryt : stäng;getDialogState() === 'idle' ? anuluj : zamknij;getDialogState() === 'idle' ? avbryt : lukk;getDialogState() === 'idle' ? cancelar : cerrar;getDialogState() === 'idle' ? annulla : chiudi;getDialogState() === 'idle' ? cancelar : fechar;getDialogState() === 'idle' ? atcelt : aizvērt;getDialogState() === 'idle' ? atšaukti : uždaryti
"Enable multiple
                  configurations at the same time in the showroom.";Schakel meerdere configuraties tegelijkertijd in de showroom in.;Activez plusieurs configurations en même temps dans le showroom.;Aktivieren Sie mehrere Konfigurationen gleichzeitig im Showroom.;Aktivera flera konfigurationer samtidigt i showrummet.;Włącz wiele konfiguracji jednocześnie w showroomie.;Aktiver flere konfigurasjoner samtidig i showroomet.;Habilitar múltiples configuraciones al mismo tiempo en el showroom.;Abilita più configurazioni contemporaneamente nella showroom.;Ative várias configurações ao mesmo tempo no showroom.;Iespējot vairākas konfigurācijas vienlaicīgi izstāžu zālē.;Įgalinti kelias konfigūracijas tuo pačiu metu parodoje.
"The accent color is used to draw
                  the users eye to action areas, such as save buttons.";De accentkleur wordt gebruikt om de aandacht van de gebruiker te vestigen op actiegebieden, zoals opslaan knoppen.;La couleur d'accent est utilisée pour attirer l'œil des utilisateurs vers les zones d'action, telles que les boutons de sauvegarde.;Die Akzentfarbe wird verwendet, um die Aufmerksamkeit der Benutzer auf Aktionsbereiche zu lenken, wie z.B. Speichern-Schaltflächen.;Accentfärgen används för att dra användarens öga till åtgärdsområden, såsom spara knappar.;Kolor akcentowy jest używany do przyciągania uwagi użytkowników do obszarów akcji, takich jak przyciski zapisz.;Aksentfargen brukes til å trekke brukerens oppmerksomhet til handlingsområder, som lagre knapper.;El color de acento se utiliza para atraer la atención del usuario hacia áreas de acción, como los botones de guardar.;Il colore di accento viene utilizzato per attirare l'attenzione degli utenti su aree di azione, come i pulsanti di salvataggio.;A cor de destaque é usada para chamar a atenção dos usuários para áreas de ação, como os botões de salvar.;Akcenta krāsa tiek izmantota, lai pievērstu lietotāju uzmanību rīcības jomām, piemēram, saglabāšanas pogām.;Akcento spalva naudojama vartotojų dėmesio pritraukimui prie veiksmų sričių, tokių kaip išsaugojimo mygtukai.
"A preview for the style. You will need
                  to refresh the page (press F5) before the changes to take into effect.";Een voorbeeld voor de stijl. U moet de pagina verversen (druk op F5) voordat de wijzigingen van kracht worden.;Un aperçu du style. Vous devrez actualiser la page (appuyez sur F5) avant que les modifications ne prennent effet.;Eine Vorschau für den Stil. Sie müssen die Seite aktualisieren (drücken Sie F5), bevor die Änderungen wirksam werden.;En förhandsvisning av stilen. Du behöver uppdatera sidan (tryck på F5) innan ändringarna träder i kraft.;Podgląd stylu. Musisz odświeżyć stronę (naciśnij F5), aby zmiany zaczęły obowiązywać.;En forhåndsvisning av stilen. Du må oppdatere siden (trykk F5) før endringene trer i kraft.;Una vista previa del estilo. Necesitarás actualizar la página (presiona F5) antes de que los cambios surtan efecto.;Un'anteprima dello stile. Dovrai aggiornare la pagina (premi F5) prima che le modifiche abbiano effetto.;Uma prévia do estilo. Você precisará atualizar a página (pressione F5) antes que as alterações entrem em vigor.;Stila priekšskatījums. Jums būs jāatsvaidzina lapa (nospiediet F5), pirms izmaiņas stājas spēkā.;Stiliaus peržiūra. Prieš įsigaliojant pakeitimams, turėsite atnaujinti puslapį (paspauskite F5).
If you have any questions, feel free to ask us, we are happy to help.;Als je vragen hebt, aarzel dan niet om het ons te vragen, we helpen je graag.;Si vous avez des questions, n'hésitez pas à nous demander, nous sommes heureux de vous aider.;Wenn Sie Fragen haben, zögern Sie nicht, uns zu fragen, wir helfen Ihnen gerne.;Om du har några frågor, tveka inte att fråga oss, vi hjälper gärna till.;Jeśli masz jakiekolwiek pytania, nie wahaj się zapytać nas, chętnie pomożemy.;Hvis du har spørsmål, ikke nøl med å spørre oss, vi hjelper gjerne.;Si tienes alguna pregunta, no dudes en preguntarnos, estaremos encantados de ayudar.;Se hai domande, non esitare a chiedere, saremo felici di aiutarti.;Se você tiver alguma dúvida, sinta-se à vontade para nos perguntar, ficaremos felizes em ajudar.;Ja jums ir kādi jautājumi, nevilcinieties jautāt mums, mēs labprāt palīdzēsim.;Jei turite klausimų, nedvejodami klauskite mūsų, mes mielai padėsime.
"Background image
                      which
                      is displayed at the login page.";Achtergrondafbeelding die wordt weergegeven op de inlogpagina.;Image de fond qui est affichée sur la page de connexion.;Hintergrundbild, das auf der Anmeldeseite angezeigt wird.;Bakgrundsbild som visas på inloggningssidan.;Obraz tła, który jest wyświetlany na stronie logowania.;Bakgrunnsbilde som vises på påloggingssiden.;Imagen de fondo que se muestra en la página de inicio de sesión.;Immagine di sfondo che viene visualizzata nella pagina di accesso.;Imagem de fundo que é exibida na página de login.;Fona attēls, kas tiek rādīts pieteikšanās lapā.;Fono vaizdas, kuris rodomas prisijungimo puslapyje.
"Shipping
                    address";Verzendadres;Adresse de livraison;Lieferadresse;Leveransadress;Adres wysyłki;Leveringsadresse;Dirección de envío;Indirizzo di spedizione;Endereço de envio;Piegādes adrese;Siuntimo adresas
Add rule;Voeg regel toe;Ajouter une règle;Regel hinzufügen;Lägg till regel;Dodaj regułę;Legg til regel;Agregar regla;Aggiungi regola;Adicionar regra;Pievienot noteikumu;Pridėti taisyklę
Would you like to visit the copied quotation?;Wilt u de gekopieerde offerte bekijken?;Souhaitez-vous visiter le devis copié ?;Möchten Sie das kopierte Angebot besuchen?;Vill du besöka den kopierade offerten?;Czy chciałbyś odwiedzić skopiowaną ofertę?;Vil du besøke det kopierte tilbudet?;¿Te gustaría visitar la cotización copiada?;Vuoi visitare il preventivo copiato?;Você gostaria de visitar a cotação copiada?;Vai vēlaties apmeklēt nokopēto piedāvājumu?;Ar norėtumėte aplankyti nukopijuotą pasiūlymą?
Additional price;Extra prijs;Prix supplémentaire;Zusätzlicher Preis;Extra pris;Dodatkowa cena;Ekstra pris;Precio adicional;Prezzo aggiuntivo;Preço adicional;Papildu cena;Papildoma kaina
Click to sort by order;Klik om te sorteren op volgorde;Cliquez pour trier par ordre;Klicken Sie, um nach Bestellung zu sortieren;Klicka för att sortera efter beställning;Kliknij, aby sortować według zamówienia;Klikk for å sortere etter bestilling;Haz clic para ordenar por pedido;Clicca per ordinare per ordine;Clique para classificar por pedido;Noklikšķiniet, lai kārtotu pēc pasūtījuma;Spustelėkite, kad rūšiuotumėte pagal užsakymą
Style;Stijl;Style;Stil;Stil;Styl;Stil;Estilo;Stile;Estilo;Stils;Stilius
Replace the quotation template file;Vervang het offerte-sjabloonbestand;Remplacer le fichier de modèle de devis;Ersetzen Sie die Angebotsvorlagendatei;Ersätt offertmallfilen;Zastąp plik szablonu oferty;Erstatt tilbudsmalfilen;Reemplazar el archivo de plantilla de cotización;Sostituisci il file del modello di preventivo;Substituir o arquivo de modelo de cotação;Aizvietot piedāvājuma veidni;Pakeisti pasiūlymo šablono failą
There are no items to show;Er zijn geen items om te tonen;Il n'y a aucun élément à afficher;Es gibt keine Elemente anzuzeigen;Det finns inga objekt att visa;Nie ma żadnych elementów do wyświetlenia;Det er ingen elementer å vise;No hay elementos para mostrar;Non ci sono elementi da mostrare;Não há itens para mostrar;Nav neviena objekta, ko rādīt;Nėra jokių elementų, kuriuos būtų galima rodyti
Click to sort;Klik om te sorteren;Cliquez pour trier;Klicken zum Sortieren;Klicka för att sortera;Kliknij, aby posortować;Klikk for å sortere;Haz clic para ordenar;Clicca per ordinare;Clique para classificar;Noklikšķiniet, lai kārtotu;Spustelėkite, norėdami rūšiuoti
Recommendations;Aanbevelingen;Recommandations;Empfehlungen;Rekommendationer;Rekomendacje;Anbefalinger;Recomendaciones;Raccomandazioni;Recomendações;Ieteikumi;Rekomendacijos
"A favicon is small icon that is
                      displayed in the browser tab, and as icon when the page is saved as a bookmark.";Een favicon is een klein pictogram dat wordt weergegeven in het browsertabblad en als pictogram wanneer de pagina als bladwijzer wordt opgeslagen.;Un favicon est une petite icône qui s'affiche dans l'onglet du navigateur et comme icône lorsque la page est enregistrée en tant que favori.;Ein Favicon ist ein kleines Symbol, das im Browser-Tab angezeigt wird und als Symbol, wenn die Seite als Lesezeichen gespeichert wird.;Ett favicon är en liten ikon som visas i webbläsarens flik och som ikon när sidan sparas som ett bokmärke.;Favicon to mała ikona, która jest wyświetlana na karcie przeglądarki i jako ikona, gdy strona jest zapisywana jako zakładka.;Et favicon er et lite ikon som vises i nettleserfanen, og som ikon når siden lagres som et bokmerke.;Un favicon es un pequeño icono que se muestra en la pestaña del navegador y como icono cuando la página se guarda como un marcador.;Un favicon è una piccola icona che viene visualizzata nella scheda del browser e come icona quando la pagina viene salvata come segnalibro.;Um favicon é um pequeno ícone que é exibido na aba do navegador e como ícone quando a página é salva como um favorito.;Favicon ir mazs ikons, kas tiek rādīta pārlūkprogrammas cilnē un kā ikona, kad lapa tiek saglabāta kā grāmatzīme.;Favicon yra maža ikona, kuri rodoma naršyklės skirtuke ir kaip ikona, kai puslapis išsaugomas kaip žymė.
"By
                  enabling this option the Overview button will only be displayed in the last step.";Door deze optie in te schakelen, wordt de Overzicht-knop alleen in de laatste stap weergegeven.;En activant cette option, le bouton Aperçu ne sera affiché que dans la dernière étape.;Durch Aktivieren dieser Option wird die Übersichtsschaltfläche nur im letzten Schritt angezeigt.;Genom att aktivera detta alternativ kommer Översikt-knappen endast att visas i det sista steget.;Włączając tę opcję, przycisk Podgląd będzie wyświetlany tylko w ostatnim kroku.;Ved å aktivere dette alternativet vil Oversikt-knappen bare vises i det siste trinnet.;Al habilitar esta opción, el botón de Resumen solo se mostrará en el último paso.;Abilitando questa opzione, il pulsante Panoramica verrà visualizzato solo nell'ultimo passaggio.;Ao ativar esta opção, o botão Visão Geral será exibido apenas na última etapa.;Iespējojot šo opciju, Pārskata poga tiks rādīta tikai pēdējā solī.;Įjungus šią parinktį, Apžvalgos mygtukas bus rodomas tik paskutiniame žingsnyje.
Are you sure you want to delete this preference?;Weet je zeker dat je deze voorkeur wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette préférence ?;Sind Sie sicher, dass Sie diese Präferenz löschen möchten?;Är du säker på att du vill ta bort denna preferens?;Czy na pewno chcesz usunąć tę preferencję?;Er du sikker på at du vil slette denne preferansen?;¿Estás seguro de que deseas eliminar esta preferencia?;Sei sicuro di voler eliminare questa preferenza?;Tem certeza de que deseja excluir esta preferência?;Vai tiešām vēlaties dzēst šo iestatījumu?;Ar tikrai norite ištrinti šią nuostatą?
Organizations;Organisaties;Organisations;Organisationen;Organisationer;Organizacje;Organisasjoner;Organizaciones;Organizzazioni;Organizações;Organizācijas;Organizacijos
"A favicon is small icon that is
                  displayed in the browser tab, and as icon when the page is saved as a bookmark.";Een favicon is een klein pictogram dat wordt weergegeven in het browsertabblad en als pictogram wanneer de pagina als bladwijzer wordt opgeslagen.;Un favicon est une petite icône qui s'affiche dans l'onglet du navigateur et comme icône lorsque la page est enregistrée en tant que favori.;Ein Favicon ist ein kleines Symbol, das im Browser-Tab angezeigt wird und als Symbol, wenn die Seite als Lesezeichen gespeichert wird.;En favicon är en liten ikon som visas i webbläsarens flik och som ikon när sidan sparas som ett bokmärke.;Favicon to mała ikona, która jest wyświetlana na karcie przeglądarki oraz jako ikona, gdy strona jest zapisywana jako zakładka.;Et favicon er et lite ikon som vises i nettleserfanen, og som ikon når siden lagres som et bokmerke.;Un favicon es un pequeño icono que se muestra en la pestaña del navegador y como icono cuando la página se guarda como un marcador.;Un favicon è una piccola icona che viene visualizzata nella scheda del browser e come icona quando la pagina viene salvata come segnalibro.;Um favicon é um pequeno ícone que é exibido na aba do navegador e como ícone quando a página é salva como um favorito.;Favicon ir mazs ikons, kas tiek attēlots pārlūkprogrammas cilnē un kā ikona, kad lapa tiek saglabāta kā grāmatzīme.;Favicon yra maža ikona, kuri rodoma naršyklės skirtuke ir kaip ikona, kai puslapis išsaugomas kaip žymė.
"Show in Overview
            (Showroom)";Toon in Overzicht (Showroom);Afficher dans l'aperçu (Showroom);Im Überblick anzeigen (Showroom);Visa i Översikt (Showroom);Pokaż w Przeglądzie (Showroom);Vis i Oversikt (Showroom);Mostrar en Resumen (Showroom);Mostra in Panoramica (Showroom);Mostrar na Visão Geral (Showroom);Rādīt pārskatā (Showroom);Rodyti apžvalgoje (Showroom)
What is the goal of your showroom?;Wat is het doel van uw showroom?;Quel est l'objectif de votre showroom ?;Was ist das Ziel Ihres Showrooms?;Vad är målet med ditt showroom?;Jaki jest cel twojego showroomu?;Hva er målet med ditt showroom?;¿Cuál es el objetivo de tu showroom?;Qual è l'obiettivo del tuo showroom?;Qual é o objetivo do seu showroom?;Kāds ir jūsu izstāžu zāles mērķis?;Koks yra jūsų parodų salono tikslas?
"Enable a login for the showroom
                  to only allow users with an account.";Schakel een login in voor de showroom om alleen gebruikers met een account toe te staan.;Activez une connexion pour le showroom afin de n'autoriser que les utilisateurs disposant d'un compte.;Aktivieren Sie ein Login für den Showroom, um nur Benutzern mit einem Konto den Zugang zu ermöglichen.;Aktivera en inloggning för showrummet för att endast tillåta användare med ett konto.;Włącz logowanie do showroomu, aby zezwolić tylko użytkownikom z kontem.;Aktiver en pålogging for showroomet for kun å tillate brukere med en konto.;Habilita un inicio de sesión para el showroom para permitir solo a los usuarios con una cuenta.;Abilita un accesso per il showroom per consentire solo agli utenti con un account.;Ative um login para o showroom para permitir apenas usuários com uma conta.;Iespējiet pieteikšanos izstāžu zālei, lai atļautu tikai lietotājiem ar kontu.;Įgalinkite prisijungimą prie parodos, kad leistumėte tik vartotojams su paskyra.
Apply Discount;Toepassen van korting;Appliquer une remise;Rabatt anwenden;Tillämpa rabatt;Zastosuj rabat;Bruk rabatt;Aplicar descuento;Applica sconto;Aplicar desconto;Piemērot atlaidi;Taikyti nuolaidą
Start;Start;Démarrer;Starten;Starta;Rozpocznij;Start;Iniciar;Inizia;Iniciar;Sākt;Pradėti
Selected recommendations;Geselecteerde aanbevelingen;Recommandations sélectionnées;Ausgewählte Empfehlungen;Valda rekommendationer;Wybrane rekomendacje;Valgte anbefalinger;Recomendaciones seleccionadas;Raccomandazioni selezionate;Recomendações selecionadas;Izvēlētās rekomendācijas;Pasirinktos rekomendacijas
Click to sort by description;Klik om te sorteren op beschrijving;Cliquez pour trier par description;Klicken Sie, um nach Beschreibung zu sortieren;Klicka för att sortera efter beskrivning;Kliknij, aby posortować według opisu;Klikk for å sortere etter beskrivelse;Haz clic para ordenar por descripción;Clicca per ordinare per descrizione;Clique para classificar por descrição;Noklikšķiniet, lai kārtotu pēc apraksta;Spustelėkite, kad rūšiuotumėte pagal aprašymą
"Edit reverse calculated
            values";Bewerk omgekeerd berekende waarden;Modifier les valeurs calculées à l'envers;Bearbeiten Sie umgekehrt berechnete Werte;Redigera omvända beräknade värden;Edytuj odwrotnie obliczone wartości;Rediger omvendt beregnede verdier;Editar valores calculados inversamente;Modifica i valori calcolati al contrario;Editar valores calculados reversamente;Rediģēt apgrieztos aprēķinātos vērtības;Redaguoti atvirkščiai apskaičiuotas reikšmes
Video URL;Video-URL;URL de la vidéo;Video-URL;Video-URL;URL wideo;Video-URL;URL del video;URL video;URL do vídeo;Video URL;Vaizdo URL
{description};{omschrijving};{description};{Beschreibung};{beskrivning};{opis};{beskrivelse};{descripción};{descrizione};{descrição};{apraksts};{aprašymas}
Are you sure you want to delete line {row.lineNumber.toString()} - {row.description}?;Weet je zeker dat je regel {row.lineNumber.toString()} - {row.description} wilt verwijderen?;Êtes-vous sûr de vouloir supprimer la ligne {row.lineNumber.toString()} - {row.description}?;Sind Sie sicher, dass Sie die Zeile {row.lineNumber.toString()} - {row.description} löschen möchten?;Är du säker på att du vill ta bort rad {row.lineNumber.toString()} - {row.description}?;Czy na pewno chcesz usunąć linię {row.lineNumber.toString()} - {row.description}?;Er du sikker på at du vil slette linje {row.lineNumber.toString()} - {row.description}?;¿Estás seguro de que deseas eliminar la línea {row.lineNumber.toString()} - {row.description}?;Sei sicuro di voler eliminare la riga {row.lineNumber.toString()} - {row.description}?;Tem certeza de que deseja excluir a linha {row.lineNumber.toString()} - {row.description}?;Vai tiešām vēlies dzēst rindu {row.lineNumber.toString()} - {row.description}?;Ar tikrai norite ištrinti eilutę {row.lineNumber.toString()} - {row.description}?
Sellers cannot see this field in this quotation status.;Verkopers kunnen dit veld niet zien in deze offerte status.;Les vendeurs ne peuvent pas voir ce champ dans ce statut de devis.;Verkäufer können dieses Feld in diesem Angebotsstatus nicht sehen.;Säljare kan inte se detta fält i denna offertstatus.;Sprzedawcy nie mogą zobaczyć tego pola w tym statusie oferty.;Selgere kan ikke se dette feltet i denne tilbudsstatusen.;Los vendedores no pueden ver este campo en este estado de cotización.;I venditori non possono vedere questo campo in questo stato di preventivo.;Os vendedores não podem ver este campo neste status de cotação.;Pārdevēji nevar redzēt šo lauku šajā piedāvājuma statusā.;Pardavėjai negali matyti šio lauko šioje pasiūlymo būsenoje.
How can new leads find your showroom?;Hoe kunnen nieuwe leads jouw showroom vinden?;Comment les nouveaux prospects peuvent-ils trouver votre showroom ?;Wie können neue Leads Ihren Showroom finden?;Hur kan nya leads hitta ditt showroom?;Jak nowe leady mogą znaleźć twoje showroom?;Hvordan kan nye leads finne ditt showroom?;¿Cómo pueden los nuevos leads encontrar tu showroom?;Come possono i nuovi lead trovare il tuo showroom?;Como novos leads podem encontrar seu showroom?;Kā jauni potenciālie klienti var atrast jūsu izstāžu zāli?;Kaip nauji potencialūs klientai gali rasti jūsų parodų salę?
{title};{title};{title};{title};{title};{title};{title};{title};{title};{title};{title};{title}
Sort direction;Sorteerrichting;Direction de tri;Sortierreihenfolge;Sorteringsriktning;Kierunek sortowania;Sorteringsretning;Dirección de ordenación;Direzione di ordinamento;Direção de ordenação;Kārtošanas virziens;Rūšiavimo kryptis
Outer Spacing (Margin);Buitenruimte (Marges);Espacement extérieur (Marge);Äußere Abstände (Rand);Yttre avstånd (Marginal);Odstępy zewnętrzne (Margines);Ytre avstand (Marginal);Espaciado exterior (Margen);Spaziatura esterna (Margine);Espaçamento externo (Margem);Ārējā atstarpe (Marge);Išorinis tarpas (Margina)
configurations;configuraties;configurations;Konfigurationen;konfigurationer;konfiguracje;konfigurasjoner;configuraciones;configurazioni;configurações;konfigurācijas;konfigūracijos
"{currentMessageBar.messageIntent || ""Select Type""}";Selecteer type;Sélectionner le type;Typ auswählen;Välj typ;Wybierz typ;Velg type;Seleccionar tipo;Seleziona tipo;Selecionar tipo;Izvēlieties veidu;Pasirinkite tipą
{alignments.find(alignment => alignment.value === textAlignment)?.label || 'Left Align'};Links uitlijnen;Alignement à gauche;Links ausrichten;Vänsterjustera;Wyrównaj do lewej;Venstrejustering;Alinear a la izquierda;Allinea a sinistra;Alinhar à esquerda;Izlīdzināt pa kreisi;Lygiuoti kairėje
"Add your own custom CSS
                      to
                      configure the layout of the EMS to your style.";Voeg je eigen aangepaste CSS toe om de lay-out van de EMS aan jouw stijl aan te passen.;Ajoutez votre propre CSS personnalisé pour configurer la mise en page de l'EMS selon votre style.;Fügen Sie Ihr eigenes benutzerdefiniertes CSS hinzu, um das Layout des EMS nach Ihrem Stil zu konfigurieren.;Lägg till din egen anpassade CSS för att konfigurera layouten av EMS efter din stil.;Dodaj własny niestandardowy CSS, aby skonfigurować układ EMS według swojego stylu.;Legg til din egen tilpassede CSS for å konfigurere layouten av EMS til din stil.;Agrega tu propio CSS personalizado para configurar el diseño del EMS a tu estilo.;Aggiungi il tuo CSS personalizzato per configurare il layout dell'EMS secondo il tuo stile.;Adicione seu próprio CSS personalizado para configurar o layout do EMS ao seu estilo.;Pievienojiet savu pielāgoto CSS, lai konfigurētu EMS izkārtojumu atbilstoši jūsu stilam.;Pridėkite savo pasirinktą CSS, kad sukonfigūruotumėte EMS išdėstymą pagal savo stilių.
"You are about to change the margin of every quotation line in this group to {newGroupMargin}%.
          Are you sure you want to do this?";Je staat op het punt de marge van elke offerte regel in deze groep te veranderen naar {newGroupMargin}%. Weet je zeker dat je dit wilt doen?;Vous êtes sur le point de changer la marge de chaque ligne de devis dans ce groupe à {newGroupMargin}%. Êtes-vous sûr de vouloir faire cela?;Sie sind dabei, die Marge jeder Angebotszeile in dieser Gruppe auf {newGroupMargin}% zu ändern. Sind Sie sicher, dass Sie dies tun möchten?;Du är på väg att ändra marginalen för varje offertlinje i denna grupp till {newGroupMargin}%. Är du säker på att du vill göra detta?;Zaraz zmienisz marżę każdej linii oferty w tej grupie na {newGroupMargin}%. Czy na pewno chcesz to zrobić?;Du er i ferd med å endre marginen for hver tilbudslinje i denne gruppen til {newGroupMargin}%. Er du sikker på at du vil gjøre dette?;Estás a punto de cambiar el margen de cada línea de cotización en este grupo a {newGroupMargin}%. ¿Estás seguro de que deseas hacer esto?;Stai per cambiare il margine di ogni riga di preventivo in questo gruppo a {newGroupMargin}%. Sei sicuro di volerlo fare?;Você está prestes a mudar a margem de cada linha de cotação neste grupo para {newGroupMargin}%. Tem certeza de que deseja fazer isso?;Jūs gatavojaties mainīt katras piedāvājuma rindas margu šajā grupā uz {newGroupMargin}%. Vai jūs tiešām vēlaties to izdarīt?;Jūs ketinate pakeisti kiekvienos pasiūlymo eilutės maržą šioje grupėje į {newGroupMargin}%. Ar tikrai norite tai padaryti?
News content;Nieuwsinhoud;Contenu des nouvelles;Nachrichteninhalt;Nyhetsinnehåll;Treść wiadomości;Nyhetsinnhold;Contenido de noticias;Contenuto delle notizie;Conteúdo de notícias;Ziņu saturs;Naujienų turinys
Increase Indent;Verhoog inspringing;Augmenter le retrait;Einzug erhöhen;Öka indrag;Zwiększ wcięcie;Øk innrykk;Aumentar sangría;Aumenta rientro;Aumentar recuo;Palielināt ieliekumu;Padidinti įtraukimą
Drop files here or Browse;Sleep bestanden hierheen of Bladeren;Déposez des fichiers ici ou Parcourir;Dateien hierher ziehen oder Durchsuchen;Dra filer hit eller Bläddra;Przeciągnij pliki tutaj lub Przeglądaj;Dra filer hit eller Bla gjennom;Suelta archivos aquí o Examinar;Trascina i file qui o Sfoglia;Solte arquivos aqui ou Navegar;Velciet failus šeit vai Pārlūkot;Vilkti failus čia arba Naršyti
"The primary color is the main
                  color that is used within the showroom and EMS.";De primaire kleur is de belangrijkste kleur die binnen de showroom en EMS wordt gebruikt.;La couleur primaire est la couleur principale utilisée dans le showroom et l'EMS.;Die Primärfarbe ist die Hauptfarbe, die im Showroom und EMS verwendet wird.;Den primära färgen är den huvudsakliga färgen som används inom showroomet och EMS.;Kolorą podstawową jest główny kolor używany w showroomie i EMS.;Primærfargen er den viktigste fargen som brukes i showroomet og EMS.;El color primario es el color principal que se utiliza dentro del showroom y EMS.;Il colore primario è il colore principale utilizzato all'interno dello showroom e dell'EMS.;A cor primária é a cor principal utilizada dentro do showroom e do EMS.;Primārā krāsa ir galvenā krāsa, kas tiek izmantota izstāžu zālē un EMS.;Pagrindinė spalva yra pagrindinė spalva, naudojama parodų salone ir EMS.
"The
                    conflict
                    dialog opens up when there is a conflict in selected options when configuring a product in the
                    showroom.
                    It enables the user to select different options, in order to resolve the conflict. If the dialog is
                    disabled, the software automatically enables/disables certain options such that the selected option
                    is
                    enabled.";Het conflict dialoogvenster opent wanneer er een conflict is in de geselecteerde opties bij het configureren van een product in de showroom. Het stelt de gebruiker in staat om verschillende opties te selecteren om het conflict op te lossen. Als het dialoogvenster is uitgeschakeld, schakelt de software automatisch bepaalde opties in of uit, zodat de geselecteerde optie is ingeschakeld.;La boîte de dialogue de conflit s'ouvre lorsqu'il y a un conflit dans les options sélectionnées lors de la configuration d'un produit dans le showroom. Elle permet à l'utilisateur de sélectionner différentes options afin de résoudre le conflit. Si la boîte de dialogue est désactivée, le logiciel active/désactive automatiquement certaines options de sorte que l'option sélectionnée soit activée.;Der Konfliktdialog öffnet sich, wenn es einen Konflikt bei den ausgewählten Optionen gibt, während ein Produkt im Showroom konfiguriert wird. Er ermöglicht es dem Benutzer, verschiedene Optionen auszuwählen, um den Konflikt zu lösen. Wenn der Dialog deaktiviert ist, aktiviert/deaktiviert die Software automatisch bestimmte Optionen, sodass die ausgewählte Option aktiviert ist.;Konfliktdialogen öppnas när det finns en konflikt i de valda alternativen när en produkt konfigureras i showrummet. Den gör det möjligt för användaren att välja olika alternativ för att lösa konflikten. Om dialogrutan är inaktiverad aktiverar/inaktiverar programvaran automatiskt vissa alternativ så att det valda alternativet är aktiverat.;Okno dialogowe konfliktu otwiera się, gdy występuje konflikt w wybranych opcjach podczas konfigurowania produktu w showroomie. Umożliwia to użytkownikowi wybór różnych opcji w celu rozwiązania konfliktu. Jeśli okno dialogowe jest wyłączone, oprogramowanie automatycznie włącza/wyłącza niektóre opcje, aby wybrana opcja była włączona.;Konfliktdialogen åpnes når det er en konflikt i de valgte alternativene når du konfigurerer et produkt i showroomet. Det gjør det mulig for brukeren å velge forskjellige alternativer for å løse konflikten. Hvis dialogen er deaktivert, aktiverer/deaktiverer programvaren automatisk visse alternativer slik at det valgte alternativet er aktivert.;El diálogo de conflicto se abre cuando hay un conflicto en las opciones seleccionadas al configurar un producto en el showroom. Permite al usuario seleccionar diferentes opciones para resolver el conflicto. Si el diálogo está deshabilitado, el software activa/desactiva automáticamente ciertas opciones de modo que la opción seleccionada esté habilitada.;La finestra di dialogo del conflitto si apre quando c'è un conflitto nelle opzioni selezionate durante la configurazione di un prodotto nel showroom. Consente all'utente di selezionare diverse opzioni per risolvere il conflitto. Se la finestra di dialogo è disabilitata, il software attiva/disattiva automaticamente alcune opzioni in modo che l'opzione selezionata sia abilitata.;O diálogo de conflito é aberto quando há um conflito nas opções selecionadas ao configurar um produto no showroom. Ele permite que o usuário selecione diferentes opções para resolver o conflito. Se o diálogo estiver desativado, o software ativa/desativa automaticamente certas opções para que a opção selecionada esteja ativada.;Konflikta dialogs tiek atvērts, kad ir konflikts izvēlētajās opcijās, konfigurējot produktu izstāžu zālē. Tas ļauj lietotājam izvēlēties dažādas opcijas, lai atrisinātu konfliktu. Ja dialogs ir atspējots, programmatūra automātiski aktivizē/deaktivē noteiktas opcijas, lai izvēlētā opcija būtu aktivizēta.;Konflikto dialogas atsidaro, kai yra konfliktas tarp pasirinktų parinkčių konfigūruojant produktą parodoje. Tai leidžia vartotojui pasirinkti skirtingas parinktis, kad išspręstų konfliktą. Jei dialogas yra išjungtas, programinė įranga automatiškai įjungia/išjungia tam tikras parinktis, kad pasirinktasis variantas būtų įjungtas.
